temp,humidity,rainfall,yield
26.2362,174.2337,41.1941,63.3147
43.5214,158.0915,54.4007,71.8751
36.9598,105.3111,27.4412,45.8707
32.9598,147.9638,53.5128,66.2371
19.6806,109.5290,35.2311,45.4255
19.6798,197.3794,40.8196,65.7897
16.7425,250.5089,55.8584,83.0538
40.9853,236.0683,86.4726,102.7455
33.0335,102.2077,63.3805,62.0419
36.2422,152.8258,21.3251,52.1004
15.6175,3.1969,30.7634,20.7063
44.0973,261.0834,24.7507,77.8212
39.9733,73.6187,33.9699,43.7007
21.3702,132.3274,45.7748,55.7639
20.4547,45.7651,33.1296,31.8543
20.5021,203.4326,54.6259,74.1501
24.1273,163.5893,81.8138,80.8629
30.7427,109.4369,81.9157,72.0680
27.9584,160.5581,45.4724,63.2353
23.7369,50.6210,44.5003,39.4954
33.3556,232.6915,75.9315,94.5107
19.1848,79.7877,51.1305,47.2782
23.7643,184.5074,92.7587,90.4101
25.9909,269.8200,53.3715,88.4470
28.6821,11.5757,38.2386,30.0390
38.5553,116.2602,20.7365,45.1869
20.9902,40.4753,91.5585,60.1714
30.4270,272.5973,28.9058,78.1005
32.7724,108.0232,33.1383,48.0055
16.3935,64.0023,22.8753,29.1561
33.2263,202.9430,54.8703,77.9917
20.1157,162.9578,50.6290,63.9408
16.9515,245.0810,81.1825,94.6929
43.4666,225.9204,61.6519,89.0500
43.9690,292.4010,63.6720,103.5069
39.2519,27.1597,79.2683,56.8417
24.1384,24.0818,63.7199,43.9179
17.9302,272.2082,62.4034,91.0224
35.5270,286.7197,89.6394,112.8217
28.2046,121.9903,52.7787,59.2488
18.6611,136.7609,67.5827,66.7419
29.8553,110.6095,48.8250,55.4910
16.0317,233.3061,68.8006,85.8710
42.2796,231.2360,20.7542,69.3082
22.7634,66.1259,74.5012,57.3048
34.8757,115.1682,78.6321,72.8124
24.3513,63.7310,85.8028,62.9530
30.6020,13.9872,57.4873,40.7217
31.4013,16.8364,41.4636,33.5195
20.5456,44.0469,74.7859,52.3660
44.0875,8.9646,91.1764,60.6074
38.2540,126.9526,77.7389,75.7362
43.1850,19.2059,88.3387,60.9660
41.8448,254.2234,28.9504,77.8733
32.9370,213.6246,89.3194,97.2657
42.6562,235.0929,73.3083,96.4696
17.6548,185.2440,81.6713,83.1809
20.8795,199.1632,51.5673,71.8801
16.3568,34.0230,62.7478,43.0856
24.7599,17.4503,66.0001,43.9181
26.6603,296.7642,58.9080,96.8049
23.1405,111.8848,27.2432,42.9407
39.8621,15.3810,37.3990,33.7344
25.7026,47.8938,30.4660,32.5225
23.4280,262.2618,82.1082,100.5349
31.2809,61.7396,47.9440,45.7042
19.2277,140.1126,41.5992,54.5905
39.0659,200.2423,36.3747,69.9556
17.2365,289.7603,72.6647,99.4554
44.6066,4.2277,59.0051,43.7301
38.1673,146.2748,64.4053,72.9078
20.9615,298.8096,76.7257,104.4132
15.1657,36.5166,92.7375,58.2218
39.4638,37.1151,75.5892,57.0568
36.2057,26.1127,92.8340,62.5013
36.8702,152.3532,72.3238,77.6936
38.1381,104.5234,70.7913,67.7418
17.2213,214.8762,30.8176,63.5504
25.7540,171.3890,26.9731,55.4905
18.4761,174.2520,21.7947,51.2906
40.8931,153.3177,72.0290,78.9460
33.6989,297.6195,68.6793,103.9733
24.9269,161.7147,67.3497,73.4959
16.9068,21.7089,66.8806,42.8541
24.3295,96.6584,71.6271,62.4441
24.7555,234.2032,82.6641,95.5994
36.8882,188.5366,74.4579,86.0027
34.1267,205.1843,64.9472,83.7485
41.6164,276.5419,36.3450,85.9658
29.1664,133.1341,77.5453,74.1494
18.5878,5.8566,38.7219,26.1086
36.3973,297.0270,71.0234,105.8363
37.8236,136.3733,30.1028,53.6731
31.8383,29.2835,58.2532,44.5348
38.1290,164.5752,67.4681,78.0878
29.8139,177.0610,81.1388,84.9257
30.6820,169.3000,72.6903,79.4098
27.8262,289.4754,80.4827,106.4843
15.7626,95.8906,84.1409,65.9774
18.2367,10.3539,85.7503,50.4169
15.9429,275.9257,86.0776,103.0068
